col,row,gid,tilesetFirstGid,spriteIdx,shiftedCol
10,1115,407,257,150,0
13,1115,391,257,134,3
1,1116,424,257,167,0
10,1116,311,257,54,0
0,1117,311,257,54,0
6,1117,311,257,54,0
9,1118,312,257,55,0
10,1171,304,257,47,0
7,1173,304,257,47,0
15,1173,304,257,47,5
12,1174,304,257,47,2
3,1175,304,257,47,0
1,1176,312,257,55,0
3,1177,304,257,47,0
1,1178,304,257,47,0
6,1178,304,257,47,0
0,1179,304,257,47,0
1,1180,304,257,47,0
3,1180,312,257,55,0
9,1180,304,257,47,0
14,1181,304,257,47,4
2,1182,312,257,55,0
13,1182,304,257,47,3
12,1183,304,257,47,2
7,1185,304,257,47,0
11,1186,304,257,47,1
15,1187,304,257,47,5
6,1188,304,257,47,0
12,1188,304,257,47,2
3,1189,311,257,54,0
1,1191,311,257,54,0
6,1245,312,257,55,0
7,1254,269,257,12,0
6,1256,269,257,12,0
5,1257,312,257,55,0
10,1257,269,257,12,0
0,1259,271,257,14,0
10,1260,271,257,14,0
1,1263,311,257,54,0
9,1263,311,257,54,0
5,1265,311,257,54,0
6,1267,308,257,51,0
3,1273,266,257,9,0
1,1275,308,257,51,0
2,1276,308,257,51,0
11,1277,283,257,26,1
8,1279,308,257,51,0
12,1285,308,257,51,2
7,1302,311,257,54,0
2,1311,312,257,55,0
10,1313,312,257,55,0
2,1314,312,257,55,0
6,1316,312,257,55,0
9,1316,271,257,14,0
11,1316,271,257,14,1
13,1316,271,257,14,3
10,1317,312,257,55,0
14,1317,312,257,55,4
8,1324,312,257,55,0
13,1325,259,257,2,3
9,1328,262,257,5,0
10,1331,262,257,5,0
14,1332,269,257,12,4
4,1334,271,257,14,0
6,1334,271,257,14,0
12,1334,257,257,0,2
0,1335,312,257,55,0
8,1335,312,257,55,0
8,1337,311,257,54,0
1,1338,439,257,182,0
3,1338,448,257,191,0
14,1338,308,257,51,4
15,1342,308,257,51,5
13,1345,289,257,32,3
2,1346,308,257,51,0
12,1360,277,257,20,2
2,1368,308,257,51,0
12,1371,407,257,150,2
15,1371,391,257,134,5
2,1372,400,257,143,0
9,1372,407,257,150,0
12,1372,391,257,134,2
15,1372,400,257,143,5
8,1373,407,257,150,0
11,1373,391,257,134,1
14,1373,400,257,143,4
6,1374,407,257,150,0
9,1374,391,257,134,0
12,1374,400,257,143,2
5,1375,407,257,150,0
8,1375,391,257,134,0
11,1375,400,257,143,1
1,1376,407,257,150,0
4,1376,391,257,134,0
7,1376,400,257,143,0
0,1377,407,257,150,0
3,1377,391,257,134,0
6,1377,400,257,143,0
15,1377,407,257,150,5
4,1379,391,257,134,0
8,1380,400,257,143,0
12,1380,391,257,134,2
13,1380,400,257,143,3
4,1381,391,257,134,0
5,1381,400,257,143,0
13,1381,391,257,134,3
14,1381,400,257,143,4
6,1383,312,257,55,0
10,1387,312,257,55,0
14,1387,266,257,9,4
15,1387,269,257,12,5
9,1388,312,257,55,0
12,1388,312,257,55,2
8,1389,270,257,13,0
11,1389,258,257,1,1
4,1399,262,257,5,0
2,1400,262,257,5,0
8,1400,268,257,11,0
0,1402,262,257,5,0
1,1404,268,257,11,0
1,1407,270,257,13,0
8,1407,277,257,20,0
0,1408,311,257,54,0
14,1408,312,257,55,4
2,1409,312,257,55,0
9,1410,439,257,182,0
11,1410,448,257,191,1
13,1410,471,257,214,3
14,1410,455,257,198,4
15,1410,464,257,207,5
0,1411,293,257,36,0
2,1412,308,257,51,0
10,1414,308,257,51,0
6,1416,308,257,51,0
6,1417,277,257,20,0
9,1419,308,257,51,0
7,1424,291,257,34,0
14,1426,265,257,8,4
11,1440,291,257,34,1
1,1443,257,257,0,0
2,1443,282,257,25,0
9,1451,311,257,54,0
5,1456,312,257,55,0
0,1458,312,257,55,0
5,1460,265,257,8,0
2,1462,270,257,13,0
7,1462,279,257,22,0
10,1462,407,257,150,0
11,1462,391,257,134,1
12,1462,407,257,150,2
13,1462,391,257,134,3
14,1462,407,257,150,4
15,1462,391,257,134,5
0,1463,407,257,150,0
1,1463,424,257,167,0
4,1463,407,257,150,0
7,1463,391,257,134,0
4,1465,312,257,55,0
10,1465,312,257,55,0
10,1468,312,257,55,0
13,1468,312,257,55,3
9,1473,268,257,11,0
15,1473,262,257,5,5
4,1475,268,257,11,0
9,1476,268,257,11,0
15,1477,262,257,5,5
7,1478,262,257,5,0
1,1479,297,257,40,0
11,1479,270,257,13,1
7,1481,312,257,55,0
6,1482,311,257,54,0
5,1483,471,257,214,0
6,1483,455,257,198,0
7,1483,464,257,207,0
9,1483,407,257,150,0
10,1483,391,257,134,0
11,1483,400,257,143,1
12,1483,289,257,32,2
12,1489,308,257,51,2
10,1499,292,257,35,0
11,1499,281,257,24,1
14,1502,308,257,51,4
6,1509,308,257,51,0
1,1512,308,257,51,0
2,1513,308,257,51,0
13,1515,279,257,22,3
14,1515,265,257,8,4
15,1515,292,257,35,5
5,1518,311,257,54,0
14,1518,311,257,54,4
4,1531,271,257,14,0
6,1531,271,257,14,0
8,1531,271,257,14,0
13,1531,407,257,150,3
14,1531,391,257,134,4
15,1531,407,257,150,5
0,1532,391,257,134,0
1,1532,407,257,150,0
2,1532,391,257,134,0
3,1532,407,257,150,0
4,1532,424,257,167,0
7,1532,407,257,150,0
10,1532,391,257,134,0
11,1534,299,257,42,1
12,1534,270,257,13,2
8,1544,267,257,10,0
7,1550,263,257,6,0
6,1551,263,257,6,0
5,1553,311,257,54,0
14,1554,311,257,54,4
1,1556,407,257,150,0
2,1556,391,257,134,0
3,1556,400,257,143,0
7,1556,294,257,37,0
8,1573,308,257,51,0
3,1574,308,257,51,0
0,1580,289,257,32,0
13,1580,308,257,51,3
6,1581,308,257,51,0
6,1583,308,257,51,0
2,1589,311,257,54,0
15,1595,311,257,54,5
9,1596,311,257,54,0
8,1597,311,257,54,0
3,1603,271,257,14,0
3,1604,270,257,13,0
5,1605,266,257,9,0
8,1610,312,257,55,0
10,1617,312,257,55,0
15,1617,262,257,5,5
3,1618,312,257,55,0
6,1619,264,257,7,0
7,1620,276,257,19,0
13,1621,276,257,19,3
1,1625,267,257,10,0
10,1625,267,257,10,0
4,1626,311,257,54,0
8,1629,308,257,51,0
13,1630,308,257,51,3
7,1632,308,257,51,0
5,1641,308,257,51,0
5,1665,311,257,54,0
5,1667,311,257,54,0
3,1668,311,257,54,0
2,1673,272,257,15,0
13,1676,270,257,13,3
12,1680,312,257,55,2
9,1689,303,257,46,0
4,1690,303,257,46,0
1,1691,303,257,46,0
11,1691,312,257,55,1
14,1691,303,257,46,4
15,1691,303,257,46,5
0,1692,305,257,48,0
2,1692,303,257,46,0
3,1692,305,257,48,0
7,1693,303,257,46,0
1,1695,303,257,46,0
11,1696,303,257,46,1
2,1698,303,257,46,0
8,1698,311,257,54,0
8,1699,311,257,54,0
1,1700,294,257,37,0
4,1700,294,257,37,0
7,1700,294,257,37,0
10,1700,267,257,10,0
5,1701,311,257,54,0
15,1701,311,257,54,5
1,1702,439,257,182,0
2,1702,448,257,191,0
3,1702,439,257,182,0
4,1702,448,257,191,0
5,1702,439,257,182,0
6,1702,448,257,191,0
7,1702,439,257,182,0
9,1702,448,257,191,0
14,1710,308,257,51,4
8,1717,407,257,150,0
9,1717,647,513,134,0
11,1717,656,513,143,1
12,1717,696,513,183,2
14,1717,704,513,191,4
15,1717,663,513,150,5
0,1718,647,513,134,0
2,1718,656,513,143,0
3,1718,695,513,182,0
5,1718,704,513,191,0
3,1723,308,257,51,0
15,1724,308,257,51,5
14,1731,308,257,51,4
12,1734,439,257,182,2
1,1736,311,257,54,0
2,1744,268,257,11,0
8,1746,447,257,190,0
12,1746,299,257,42,2
9,1747,299,257,42,0
14,1748,299,257,42,4
7,1749,270,257,13,0
13,1749,299,257,42,3
14,1749,267,257,10,4
1,1750,312,257,55,0
5,1750,299,257,42,0
10,1750,299,257,42,0
6,1751,299,257,42,0
14,1751,299,257,42,4
4,1753,312,257,55,0
8,1754,312,257,55,0
4,1756,312,257,55,0
10,1772,311,257,54,0
13,1774,471,257,214,3
14,1774,464,257,207,4
15,1774,471,257,214,5
0,1775,464,257,207,0
1,1775,471,257,214,0
2,1775,464,257,207,0
3,1775,471,257,214,0
4,1775,455,257,198,0
5,1775,464,257,207,0
6,1775,407,257,150,0
7,1775,647,513,134,0
9,1775,656,513,143,0
10,1775,696,513,183,0
12,1775,704,513,191,2
13,1775,663,513,150,3
14,1775,647,513,134,4
0,1776,656,513,143,0
1,1776,695,513,182,0
3,1776,704,513,191,0
4,1776,407,257,150,0
5,1776,647,513,134,0
7,1776,656,513,143,0
8,1776,696,513,183,0
10,1776,704,513,191,0
11,1776,663,513,150,1
12,1776,647,513,134,2
14,1776,656,513,143,4
15,1776,695,513,182,5
1,1777,704,513,191,0
3,1777,308,257,51,0
14,1778,407,257,150,4
15,1778,647,513,134,5
1,1779,656,513,143,0
2,1779,696,513,183,0
4,1779,704,513,191,0
5,1779,663,513,150,0
6,1779,647,513,134,0
8,1779,656,513,143,0
9,1779,695,513,182,0
11,1779,704,513,191,1
10,1780,407,257,150,0
11,1780,647,513,134,1
13,1780,656,513,143,3
14,1780,696,513,183,4
0,1781,704,513,191,0
1,1781,663,513,150,0
2,1781,647,513,134,0
4,1781,656,513,143,0
5,1781,695,513,182,0
7,1781,704,513,191,0
6,1782,407,257,150,0
7,1782,647,513,134,0
9,1782,656,513,143,0
10,1782,696,513,183,0
12,1782,704,513,191,2
13,1782,663,513,150,3
14,1782,647,513,134,4
0,1783,656,513,143,0
1,1783,695,513,182,0
3,1783,704,513,191,0
2,1784,407,257,150,0
3,1784,647,513,134,0
5,1784,656,513,143,0
6,1784,696,513,183,0
8,1784,704,513,191,0
9,1784,663,513,150,0
10,1784,647,513,134,0
12,1784,656,513,143,2
13,1784,695,513,182,3
15,1784,704,513,191,5
14,1785,407,257,150,4
15,1785,647,513,134,5
1,1786,656,513,143,0
2,1786,696,513,183,0
4,1786,704,513,191,0
5,1786,663,513,150,0
6,1786,647,513,134,0
8,1786,656,513,143,0
9,1786,695,513,182,0
11,1786,704,513,191,1
13,1787,308,257,51,3
12,1788,308,257,51,2
6,1789,407,257,150,0
7,1789,647,513,134,0
9,1789,656,513,143,0
10,1789,696,513,183,0
12,1789,704,513,191,2
13,1789,663,513,150,3
14,1789,647,513,134,4
0,1790,656,513,143,0
1,1790,695,513,182,0
3,1790,704,513,191,0
2,1791,407,257,150,0
3,1791,647,513,134,0
5,1791,656,513,143,0
6,1791,696,513,183,0
8,1791,704,513,191,0
9,1791,663,513,150,0
10,1791,647,513,134,0
12,1791,656,513,143,2
13,1791,695,513,182,3
15,1791,704,513,191,5
0,1792,407,257,150,0
1,1792,647,513,134,0
3,1792,656,513,143,0
4,1792,696,513,183,0
6,1792,704,513,191,0
7,1792,663,513,150,0
8,1792,647,513,134,0
10,1792,656,513,143,0
11,1792,695,513,182,1
13,1792,704,513,191,3
14,1792,407,257,150,4
15,1792,647,513,134,5
1,1793,656,513,143,0
2,1793,696,513,183,0
4,1793,704,513,191,0
5,1793,663,513,150,0
6,1793,647,513,134,0
8,1793,656,513,143,0
9,1793,695,513,182,0
11,1793,704,513,191,1
10,1794,407,257,150,0
11,1794,647,513,134,1
13,1794,656,513,143,3
14,1794,696,513,183,4
0,1795,704,513,191,0
1,1795,663,513,150,0
2,1795,647,513,134,0
4,1795,656,513,143,0
5,1795,695,513,182,0
7,1795,704,513,191,0
6,1796,407,257,150,0
7,1796,647,513,134,0
9,1796,656,513,143,0
10,1796,696,513,183,0
12,1796,704,513,191,2
13,1796,663,513,150,3
14,1796,647,513,134,4
0,1797,656,513,143,0
1,1797,695,513,182,0
3,1797,704,513,191,0
6,1798,266,257,9,0
0,1799,407,257,150,0
1,1799,647,513,134,0
3,1799,656,513,143,0
4,1799,696,513,183,0
6,1799,704,513,191,0
7,1799,663,513,150,0
8,1799,647,513,134,0
10,1799,656,513,143,0
11,1799,695,513,182,1
13,1799,704,513,191,3
12,1800,407,257,150,2
13,1800,647,513,134,3
15,1800,656,513,143,5
0,1801,696,513,183,0
2,1801,704,513,191,0
3,1801,663,513,150,0
4,1801,647,513,134,0
6,1801,656,513,143,0
7,1801,695,513,182,0
9,1801,704,513,191,0
8,1802,407,257,150,0
9,1802,647,513,134,0
11,1802,656,513,143,1
12,1802,696,513,183,2
14,1802,704,513,191,4
15,1802,663,513,150,5
0,1803,647,513,134,0
2,1803,656,513,143,0
3,1803,695,513,182,0
5,1803,704,513,191,0
4,1804,407,257,150,0
5,1804,647,513,134,0
7,1804,656,513,143,0
8,1804,696,513,183,0
10,1804,704,513,191,0
11,1804,663,513,150,1
12,1804,647,513,134,2
14,1804,656,513,143,4
15,1804,695,513,182,5
1,1805,704,513,191,0
0,1806,407,257,150,0
1,1806,647,513,134,0
3,1806,656,513,143,0
4,1806,696,513,183,0
6,1806,704,513,191,0
7,1806,663,513,150,0
8,1806,647,513,134,0
10,1806,656,513,143,0
11,1806,695,513,182,1
13,1806,704,513,191,3
2,1808,311,257,54,0
4,1811,311,257,54,0
8,1811,311,257,54,0
2,1812,311,257,54,0
13,1813,278,257,21,3
10,1816,277,257,20,0
1,1817,267,257,10,0
4,1819,471,257,214,0
14,1819,267,257,10,4
14,1823,312,257,55,4
11,1826,303,257,46,1
10,1827,303,257,46,0
12,1828,303,257,46,2
12,1829,312,257,55,2
10,1830,303,257,46,0
15,1830,303,257,46,5
7,1831,303,257,46,0
13,1832,303,257,46,3
10,1833,303,257,46,0
5,1834,312,257,55,0
8,1834,303,257,46,0
14,1834,303,257,46,4
12,1843,407,257,150,2
15,1843,391,257,134,5
1,1844,424,257,167,0
4,1844,407,257,150,0
7,1844,391,257,134,0
12,1844,311,257,54,2
0,1845,400,257,143,0
10,1845,464,257,207,0
4,1846,448,257,191,0
10,1846,311,257,54,0
3,1847,311,257,54,0
9,1847,407,257,150,0
10,1847,400,257,143,0
11,1847,407,257,150,1
12,1847,400,257,143,2
13,1847,407,257,150,3
14,1847,400,257,143,4
15,1847,407,257,150,5
0,1848,391,257,134,0
1,1848,400,257,143,0
14,1849,407,257,150,4
15,1849,647,513,134,5
1,1850,656,513,143,0
2,1850,696,513,183,0
4,1850,704,513,191,0
5,1850,663,513,150,0
6,1850,647,513,134,0
8,1850,656,513,143,0
9,1850,695,513,182,0
11,1850,704,513,191,1
12,1850,407,257,150,2
13,1850,647,513,134,3
15,1850,656,513,143,5
0,1851,696,513,183,0
2,1851,704,513,191,0
3,1851,663,513,150,0
4,1851,647,513,134,0
6,1851,656,513,143,0
7,1851,695,513,182,0
9,1851,704,513,191,0
8,1852,407,257,150,0
9,1852,647,513,134,0
11,1852,656,513,143,1
12,1852,696,513,183,2
14,1852,704,513,191,4
15,1852,663,513,150,5
0,1853,647,513,134,0
2,1853,656,513,143,0
3,1853,695,513,182,0
5,1853,704,513,191,0
4,1854,407,257,150,0
5,1854,647,513,134,0
7,1854,656,513,143,0
8,1854,696,513,183,0
10,1854,704,513,191,0
11,1854,663,513,150,1
12,1854,647,513,134,2
14,1854,656,513,143,4
15,1854,695,513,182,5
1,1855,704,513,191,0
0,1856,407,257,150,0
1,1856,647,513,134,0
3,1856,656,513,143,0
4,1856,696,513,183,0
6,1856,704,513,191,0
7,1856,663,513,150,0
8,1856,647,513,134,0
10,1856,656,513,143,0
11,1856,695,513,182,1
13,1856,704,513,191,3
12,1857,407,257,150,2
13,1857,647,513,134,3
15,1857,656,513,143,5
0,1858,696,513,183,0
2,1858,704,513,191,0
3,1858,663,513,150,0
4,1858,647,513,134,0
6,1858,656,513,143,0
7,1858,695,513,182,0
9,1858,704,513,191,0
8,1859,407,257,150,0
9,1859,647,513,134,0
11,1859,656,513,143,1
12,1859,696,513,183,2
14,1859,704,513,191,4
15,1859,663,513,150,5
0,1860,647,513,134,0
2,1860,656,513,143,0
3,1860,695,513,182,0
5,1860,704,513,191,0
6,1860,407,257,150,0
7,1860,647,513,134,0
9,1860,656,513,143,0
10,1860,696,513,183,0
12,1860,704,513,191,2
13,1860,663,513,150,3
14,1860,647,513,134,4
0,1861,656,513,143,0
1,1861,695,513,182,0
3,1861,704,513,191,0
4,1861,407,257,150,0
5,1861,647,513,134,0
7,1861,656,513,143,0
8,1861,696,513,183,0
10,1861,704,513,191,0
11,1861,663,513,150,1
12,1861,647,513,134,2
14,1861,656,513,143,4
15,1861,695,513,182,5
1,1862,704,513,191,0
11,1863,308,257,51,1
8,1866,407,257,150,0
9,1866,647,513,134,0
11,1866,656,513,143,1
12,1866,696,513,183,2
14,1866,704,513,191,4
15,1866,663,513,150,5
0,1867,647,513,134,0
2,1867,656,513,143,0
3,1867,695,513,182,0
5,1867,704,513,191,0
4,1868,407,257,150,0
5,1868,647,513,134,0
7,1868,656,513,143,0
8,1868,696,513,183,0
10,1868,704,513,191,0
11,1868,663,513,150,1
12,1868,647,513,134,2
14,1868,656,513,143,4
15,1868,695,513,182,5
1,1869,704,513,191,0
0,1870,407,257,150,0
1,1870,647,513,134,0
3,1870,656,513,143,0
4,1870,696,513,183,0
6,1870,704,513,191,0
7,1870,663,513,150,0
8,1870,647,513,134,0
10,1870,656,513,143,0
11,1870,695,513,182,1
13,1870,704,513,191,3
14,1870,407,257,150,4
15,1870,647,513,134,5
1,1871,656,513,143,0
2,1871,696,513,183,0
4,1871,704,513,191,0
5,1871,663,513,150,0
6,1871,647,513,134,0
8,1871,656,513,143,0
9,1871,695,513,182,0
11,1871,704,513,191,1
10,1872,407,257,150,0
11,1872,647,513,134,1
13,1872,656,513,143,3
14,1872,696,513,183,4
0,1873,704,513,191,0
1,1873,663,513,150,0
2,1873,647,513,134,0
4,1873,656,513,143,0
5,1873,695,513,182,0
7,1873,704,513,191,0
6,1874,407,257,150,0
7,1874,647,513,134,0
9,1874,656,513,143,0
10,1874,696,513,183,0
12,1874,704,513,191,2
13,1874,663,513,150,3
14,1874,647,513,134,4
0,1875,656,513,143,0
1,1875,695,513,182,0
3,1875,704,513,191,0
2,1876,407,257,150,0
3,1876,647,513,134,0
5,1876,656,513,143,0
6,1876,696,513,183,0
8,1876,704,513,191,0
9,1876,663,513,150,0
10,1876,647,513,134,0
12,1876,656,513,143,2
13,1876,695,513,182,3
15,1876,704,513,191,5
14,1877,407,257,150,4
15,1877,647,513,134,5
1,1878,656,513,143,0
2,1878,696,513,183,0
4,1878,704,513,191,0
5,1878,663,513,150,0
6,1878,647,513,134,0
8,1878,656,513,143,0
9,1878,695,513,182,0
11,1878,704,513,191,1
10,1879,407,257,150,0
11,1879,647,513,134,1
13,1879,656,513,143,3
14,1879,696,513,183,4
0,1880,704,513,191,0
1,1880,663,513,150,0
2,1880,647,513,134,0
4,1880,656,513,143,0
4,1882,268,257,11,0
7,1882,311,257,54,0
3,1883,311,257,54,0
14,1888,311,257,54,4
0,1892,391,257,134,0
11,1893,270,257,13,1
10,1916,305,257,48,0
5,1917,305,257,48,0
0,1918,305,257,48,0
0,1919,305,257,48,0
5,1919,305,257,48,0
7,1955,267,257,10,0
4,1957,267,257,10,0
9,1958,268,257,11,0
8,1960,267,257,10,0
2,1962,267,257,10,0
14,1962,284,257,27,4
